id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
595549893585733310,HCK[R&F] 2BR 2-4pax City View/Walk CIQ/Sunset@JB,95993346,Kylie,North Region,Woodlands,1.45838,103.77033,Entire home/apt,58,1,8,2022-05-01,3.43,1,18,8,
50646,Pleasant Room along Bukit Timah,227796,Sujatha,Central Region,Bukit Timah,1.33432,103.78521,Private room,80,92,18,2014-12-26,0.18,1,365,0,
71609,Ensuite Room (Room 1 & 2) near EXPO,367042,Belinda,East Region,Tampines,1.34537,103.95887,Private room,143,92,20,2020-01-17,0.16,6,365,0,
71896,B&B  Room 1 near Airport & EXPO,367042,Belinda,East Region,Tampines,1.34754,103.95958,Private room,83,92,24,2019-10-13,0.18,6,365,0,
71903,Room 2-near Airport & EXPO,367042,Belinda,East Region,Tampines,1.34531,103.961,Private room,83,92,47,2020-01-09,0.35,6,365,0,
275343,"Conveniently located City Room!(1,2,3,4,5,6,7,8)",1439258,Joyce,Central Region,Bukit Merah,1.29015,103.80814,Private room,52,14,21,2022-05-15,0.19,50,318,1,S0399
275344,15 mins to Outram MRT Single Room (B),1439258,Joyce,Central Region,Bukit Merah,1.28836,103.81144,Private room,69,14,13,2020-12-27,0.11,50,348,0,S0399
289234,Booking for 3 bedrooms,367042,Belinda,East Region,Tampines,1.3449,103.95979,Private room,180,92,12,2019-01-01,0.10,6,364,0,
294281,5 mins walk from Newton subway,1521514,Elizabeth,Central Region,Newton,1.31142,103.83924,Private room,72,92,133,2020-01-21,1.05,7,365,0,
324945,20 Mins to Sentosa @ Hilltop ! (8),1439258,Joyce,Central Region,Bukit Merah,1.28828,103.8102,Private room,49,14,16,2022-04-04,0.13,50,347,2,S0399
330089,"Accomo@ REDHILL-INSEAD, NTU,NUS -Mu(D)",1439258,Joyce,Central Region,Bukit Merah,1.28652,103.81225,Private room,55,15,12,2022-04-05,0.12,50,326,2,S0399
330095,10 mins to Redhill MRT @ Mini Orange Room(5),1439258,Joyce,Central Region,Bukit Merah,1.28636,103.81138,Private room,65,60,3,2016-08-22,0.03,50,364,0,S0399
344803,Budget short stay room near  EXPO,367042,Belinda,East Region,Tampines,1.34917,103.9609,Private room,42,92,58,2020-02-10,0.46,6,300,0,
355955,Double room in an Authentic Peranakan Shophouse,1759905,Aresha,Central Region,Geylang,1.31374,103.9019,Private room,65,92,0,,,1,173,0,
369141,5mins from Newton Train Station,1521514,Elizabeth,Central Region,Newton,1.31144,103.83784,Private room,69,92,81,2020-01-04,0.76,7,365,0,
369145,5 mins walk from Newton MRT,1521514,Elizabeth,Central Region,Newton,1.31129,103.83788,Private room,66,92,165,2020-01-10,1.33,7,365,0,
395191,Heritage Apartment Room near Orchard,1975201,Adi,Central Region,River Valley,1.29335,103.83768,Private room,100,93,27,2017-08-07,0.25,1,84,0,
481789,Master Bedroom in Newly Built Flat,2386154,Susan,East Region,Tampines,1.34816,103.93238,Private room,37,180,0,,,1,0,0,
606784,"Ensuite room, pool, near airport, expo and sutd.",813925,Happy,East Region,Tampines,1.34361,103.95717,Private room,83,92,80,2020-02-07,0.83,1,89,0,
642660,BEST CITY LIVING WITH GA RESIDENCE,3212572,Roger,Central Region,Rochor,1.30096,103.85206,Private room,166,180,0,,,1,365,0,
696136,Quiet ensuite room in Holland Village,1289033,Grace,Central Region,Bukit Timah,1.30938,103.79812,Private room,100,92,28,2017-08-12,0.24,1,91,0,
733863,Homestay at Serangoon,3824517,Shirlnet,North-East Region,Serangoon,1.36926,103.87312,Private room,26,180,0,,,1,364,0,
747813,Fantastic Serviced Apartment in the Singapore CBD,3926646,John,Central Region,Downtown Core,1.27663,103.84498,Private room,119,92,72,2019-02-27,0.62,3,358,0,
747816,Fantastic Serviced Apartment in the Singapore CBD,3926646,John,Central Region,Downtown Core,1.27585,103.84597,Private room,119,92,26,2018-09-14,0.22,3,365,0,
756267,East Coast Boutique,1584407,Richard,Central Region,Marine Parade,1.30416,103.90076,Private room,250,92,70,2020-10-12,0.60,4,0,0,
765579,Chinatown@doorstep: *Queenbed Rm 89C (Not Tourist),2413412,Kaurus,Central Region,Outram,1.2841,103.84253,Private room,69,92,2,2019-08-11,0.02,100,356,0,
815685,Awesome Yellow Room in the City! Near Orchard Rd!,1439258,Joyce,Central Region,Bukit Merah,1.29065,103.80941,Private room,40,14,14,2019-10-10,0.13,50,289,0,S0399
819034,Boutique 2 Bedroom Apartment,1584407,Richard,Central Region,Marine Parade,1.30492,103.90315,Entire home/apt,300,92,40,2019-12-25,0.35,4,0,0,
819044,East Coast Hideaway,1584407,Richard,Central Region,Marine Parade,1.30425,103.90097,Private room,150,92,71,2020-07-12,0.62,4,0,0,
823571,Apartment away from town,4177147,Tania,East Region,Bedok,1.31313,103.91479,Private room,277,92,0,,,1,0,0,
833289,Warm hospitality Italian style,4360831,Laura,Central Region,Bukit Merah,1.27716,103.82299,Private room,150,92,2,2019-01-25,0.03,1,356,0,
863139,EnsuiteA w Balcony view/access/chill,2413412,Kaurus,Central Region,Kallang,1.3092,103.86339,Private room,40,92,2,2016-12-27,0.03,100,356,0,
881253,Chinatown Doorstep! *Ensuite1+1 (Not for Tourist),2413412,Kaurus,Central Region,Outram,1.28485,103.84317,Private room,79,92,3,2018-03-09,0.03,100,172,0,
915275,Ensuite M1B within Heritage apartment,2413412,Kaurus,Central Region,Kallang,1.31208,103.85846,Private room,88,92,2,2017-08-07,0.03,100,325,0,
962594,EnsuiteK w Balcony view/access/chill,2413412,Kaurus,Central Region,Kallang,1.30663,103.86243,Private room,45,92,2,2018-12-15,0.04,100,356,0,
982909,Amazing Sunset Home @Central Area,4723385,Yuan,Central Region,Novena,1.33389,103.83454,Private room,90,92,247,2020-07-30,2.20,1,148,0,
1024986,Super Host Apartment,5643415,Martin,Central Region,River Valley,1.29245,103.83742,Entire home/apt,150,92,260,2022-01-14,2.47,1,272,21,
1183956,Private room with non sharing Bath in East Coast.,5981584,Amanda,Central Region,Marine Parade,1.3073809821999653,103.89464629494783,Private room,44,92,0,,,1,365,0,
1244654,kAwesome view! Ensuite M208 (Not For Tourist),2413412,Kaurus,Central Region,Outram,1.2838,103.84265,Private room,69,92,4,2016-10-18,0.06,100,356,0,
1249555,Heritage apartment: Master rmM3C,2413412,Kaurus,Central Region,Kallang,1.31322,103.85583,Private room,50,92,1,2016-10-22,0.01,100,356,0,
1261443,Great viewC Ensuite1+1@CBD/Chinatown (Not-Tourist),2413412,Kaurus,Central Region,Outram,1.28458,103.84311,Private room,79,92,3,2017-12-02,0.05,100,356,0,
1363204,Chinatown at your door: Master Rm* attach bathroom,2413412,Kaurus,Central Region,Outram,1.28386,103.84238,Private room,69,92,3,2016-10-14,0.03,100,356,0,
1495386,Private room with balcony nr beach,7993224,Violet,East Region,Pasir Ris,1.37975,103.94375,Private room,50,92,10,2021-11-24,0.10,1,365,1,
1508829,Lavender QueenBed *rmFr: 5m walk MRT,2413412,Kaurus,Central Region,Kallang,1.3072,103.86359,Private room,59,92,9,2021-05-23,0.09,100,172,0,
1562453,Deluxe Quad-sharing room,8270362,Domus,Central Region,Novena,1.32359,103.8498,Private room,30,108,0,,,1,0,0,
1581224,Life Impact Coaching,8408341,Gerard,Central Region,Kallang,1.31108,103.87374,Entire home/apt,130,96,0,,,1,365,0,
1611318,"Central Condo, reasonable price",8580110,Betty,Central Region,Bukit Merah,1.28419,103.82765,Private room,60,183,0,,,1,0,0,
1615074,AweSome view! Ensuite 1+1 @Chinatown,2413412,Kaurus,Central Region,Outram,1.2841,103.84253,Private room,79,92,5,2021-06-25,0.10,100,356,1,
1643945,Private Bedroom from Semi-D,8725237,Soh,North-East Region,Ang Mo Kio,1.39088,103.85303,Private room,216,92,0,,,1,0,0,
1646909,"Cozy room, convenient location",8739736,Serene,West Region,Bukit Batok,1.34126,103.75992,Private room,82,92,0,,,1,0,0,
1654840,3-person Bunk/Loft Bed Pte Room,8773916,Superb Hostel,Central Region,Rochor,1.30292,103.858,Private room,90,92,2,2018-01-02,0.03,7,0,0,
1678744,Ladies-Only Shared Room @ Chinatown,8881470,Wink,Central Region,Outram,1.28405,103.84424,Shared room,63,92,150,2020-01-31,1.43,5,238,0,
1678754,Private Room for 6pax @ Chinatown,8881470,Wink,Central Region,Outram,1.28405,103.84424,Hotel room,378,92,2,2018-03-11,0.02,5,238,0,
1678755,Mixed Shared Room @ Chinatown,8881470,Wink,Central Region,Outram,1.28405,103.84424,Hotel room,63,92,93,2020-01-31,0.91,5,238,0,
1710048,Fireworks view8! highrise Ensuite,8948251,Joey,Central Region,Outram,1.28466,103.84255,Private room,40,92,0,,,74,356,0,
1838622,Beautifully renovated cosy room,2999297,Jimmy,East Region,Bedok,1.31805,103.92361,Private room,95,92,0,,,3,365,0,
1900478,"aljunied solo Mini *Ensuite, 3 min walk MRT",2413412,Kaurus,Central Region,Geylang,1.31612,103.88343,Private room,37,92,1,2017-03-25,0.02,100,356,0,
1902729,"Modest, clean & comfy, easy to city",7644641,Jin,East Region,Bedok,1.3209,103.91569,Private room,49,92,3,2016-05-13,0.03,3,3,0,
1902793,"Large,  clean & comfy, easy to city",7644641,Jin,East Region,Bedok,1.32204,103.92125,Private room,60,92,2,2016-05-04,0.03,3,18,0,
1941719,Fantastic Serviced Apartment in the Singapore CBD,3926646,John,Central Region,Downtown Core,1.27525,103.84524,Private room,119,92,77,2019-04-25,0.76,3,358,0,
2009008,"Modest, clean & comfy, easy to city",7644641,Jin,East Region,Bedok,1.32301,103.92211,Private room,68,92,5,2015-03-22,0.05,3,4,0,
2024941,Cosy Double room in a Terrace House,2999297,Jimmy,East Region,Bedok,1.31963,103.924,Private room,95,92,0,,,3,0,0,
2030663,Singapore Room n Central Balestier!,9900768,David,Central Region,Novena,1.32453,103.85255,Private room,343,92,2,2014-07-19,0.02,2,174,0,
2129215,Luxuriously Spacious Studio Apt.,7642747,Shirley,East Region,Bedok,1.31936,103.91663,Entire home/apt,139,92,369,2020-03-31,3.59,1,234,0,
2142826,Singapore Room for Rent!,9900768,David,Central Region,Novena,1.32485,103.85143,Private room,929,160,21,2016-09-30,0.23,2,181,0,
2156372,"Cozy, Many Guests Loved It Here",6157422,Regina,North-East Region,Hougang,1.36722,103.89765,Private room,50,92,14,2021-04-17,0.15,2,341,0,
2320536,Single Room at Woodlands,11851304,Ammarudin,North Region,Woodlands,1.44076,103.77626,Private room,30,183,5,2014-07-14,0.05,1,0,0,
2351979,Tribeca Robertson Quay (new 1br),11990154,Chelsea,Central Region,Singapore River,1.29182,103.83496,Entire home/apt,150,365,0,,,1,365,0,
2387588,Private Room Shared Toilet - 1 Person,12067440,Tommy,Central Region,Kallang,1.3117,103.86028,Private room,62,1,60,2022-06-08,0.62,5,354,4,S0251
2387715,"Private room 2-pax near MRT, shared toilet",12067440,Tommy,Central Region,Kallang,1.3117,103.86028,Private room,100,1,56,2020-01-18,0.68,5,339,0,S0251
2492539,*NOW:  Fully Furnished Room★★★★★Maid Services,11897350,Pat/Linda,West Region,Jurong East,1.33668,103.73644,Private room,50,92,28,2020-09-30,0.32,3,364,0,
2547778,1950s cozy window singlebed room @ lavender,8948251,Joey,Central Region,Kallang,1.31117,103.86214,Private room,25,92,1,2018-06-30,0.02,74,363,0,
2691621,"Sofa couch, near Orchard/Holland",581033,Nicholas,Central Region,Queenstown,1.30692,103.8007,Shared room,77,92,0,,,1,365,0,
2922184,10 Min Walk to HawParVilla MRT - INSEAD (A),1439258,Joyce,Central Region,Queenstown,1.2805,103.78439,Private room,72,28,15,2022-01-02,0.19,50,328,3,S0399
2959811,Central quiet serviced master bedroom (>3 months),15067769,Dominique,Central Region,Orchard,1.30085,103.84318,Private room,80,92,0,,,1,364,0,
3034137,Cozy 1 BD linked to MRT (Heartland),4422603,Rosanna,North-East Region,Hougang,1.35956,103.88423,Private room,89,92,9,2019-07-27,0.10,1,357,0,
3075620,Everything You Need in Singapore,7044509,Katherine,Central Region,Museum,1.29973,103.84658,Private room,110,92,7,2020-06-05,0.08,2,213,0,
3078453,5 mins walk to MRT. Very near city.,15666562,Yeo,Central Region,Toa Payoh,1.33781,103.86901,Entire home/apt,280,92,6,2015-09-25,0.07,1,365,0,
3209752,"Modern Rm near Airport, Expo, SUTD, Changi BizPark",16262927,Jeremy,East Region,Tampines,1.34806,103.95858,Private room,98,92,13,2020-03-02,0.38,1,365,0,
3304326,"Furnishied Room Near Airport, Changi BizPark, SUTD",16689958,S,East Region,Tampines,1.34798,103.9617,Private room,89,92,10,2018-06-02,0.10,1,362,0,
3349976,Private Room - min.6months,14297490,Flora,East Region,Pasir Ris,1.36449,103.95931,Private room,80,180,0,,,1,0,0,
3667894,Chinatown at your door: Master Rm attach bathroom,2413412,Kaurus,Central Region,Outram,1.28424,103.84275,Private room,69,92,2,2019-10-29,0.05,100,356,0,
3717196,DORMS - In the heart of Chinatown!,17526618,Royal,Central Region,Outram,1.28497,103.84341,Hotel room,31,92,18,2018-10-07,0.19,5,365,0,
3802621,1-person Bunk Bed Private Room,8773916,Superb Hostel,Central Region,Rochor,1.30376,103.85923,Private room,58,92,20,2018-02-10,0.25,7,0,0,
3803160,3-person Bunk Bed Private Room,8773916,Superb Hostel,Central Region,Rochor,1.30171,103.85959,Private room,90,92,6,2017-07-29,0.07,7,0,0,
3980202,1-person Bunk Bed Private Room,8773916,Superb Hostel,Central Region,Rochor,1.30148,103.85813,Private room,58,92,28,2018-08-26,0.30,7,0,0,
3981252,Ultra convenient Condo close to MRT,20636569,Chris,East Region,Bedok,1.31786,103.9059,Private room,88,92,2,2019-09-23,0.02,1,362,0,
3990431,1-person Bunk Bed Private Room,8773916,Superb Hostel,Central Region,Rochor,1.30348,103.85969,Private room,58,92,10,2017-12-14,0.12,7,0,0,
4008423,Private Room Shared Toilet - 1 Person,12067440,Tommy,Central Region,Kallang,1.31179,103.86002,Private room,62,1,207,2022-05-15,3.05,5,344,2,S0251
4013186,Cosy Room right in the City town.,20049904,Lenneth,Central Region,Outram,1.27795,103.84109,Private room,950,180,0,,,2,0,0,
4017084,Masterbedroom for rent (Central),20785714,Yock Lian,Central Region,Outram,1.28172,103.84074,Private room,50,180,0,,,1,365,0,
4054698,DORMS - In the heart of Chinatown!,17526618,Royal,Central Region,Outram,1.28268,103.84463,Hotel room,31,92,49,2020-01-01,0.54,5,365,0,
4069756,DORMS - In the heart of Chinatown!,17526618,Royal,Central Region,Outram,1.283,103.84344,Hotel room,31,92,21,2019-11-19,0.23,5,365,0,
